trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-080434-001-000-1,,BUY,LONG,1000,1000,1761897874000000000,2025-10-31 08:04:34+00:00,1761897874000000000,,,101.4886,,['2.03 USD'],0.0,-2.03 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-083634-001-000-2,,SELL,SHORT,1000,1000,1761899794000000000,2025-10-31 08:36:34+00:00,1761899794000000000,,,101.2177,,['2.02 USD'],0.0,-2.02 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-091034-001-000-3,,BUY,LONG,1000,1000,1761901834000000000,2025-10-31 09:10:34+00:00,1761901834000000000,,,109.04025,,['2.18 USD'],0.0,-2.18 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-093334-001-000-4,,SELL,SHORT,1000,1000,1761903214000000000,2025-10-31 09:33:34+00:00,1761903214000000000,,,108.08226,,['2.16 USD'],0.0,-2.16 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-095134-001-000-5,,BUY,LONG,1000,1000,1761904294000000000,2025-10-31 09:51:34+00:00,1761904294000000000,,,109.24104,,['2.18 USD'],0.0,-2.18 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-103234-001-000-6,,SELL,SHORT,1000,1000,1761906754000000000,2025-10-31 10:32:34+00:00,1761906754000000000,,,108.56206,,['2.17 USD'],0.0,-2.17 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-110634-001-000-7,,BUY,LONG,1000,1000,1761908794000000000,2025-10-31 11:06:34+00:00,1761908794000000000,,,109.48608,,['2.19 USD'],0.0,-2.19 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-113634-001-000-8,,SELL,SHORT,1000,1000,1761910594000000000,2025-10-31 11:36:34+00:00,1761910594000000000,,,108.33154,,['2.17 USD'],0.0,-2.17 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-123934-001-000-9,,BUY,LONG,1000,1000,1761914374000000000,2025-10-31 12:39:34+00:00,1761914374000000000,,,98.42071,,['1.97 USD'],0.0,-1.97 USD,False
BACKTESTER-001,MovingAverageRSIStrategy-000,XYZ/USD.SIM,SIM-001,O-20251031-131334-001-000-10,,SELL,SHORT,1000,1000,1761916414000000000,2025-10-31 13:13:34+00:00,1761916414000000000,,,98.19995,,['1.96 USD'],0.0,-1.96 USD,False
